#---it-------t---------dt-------urms-------umax-------epsK-------orms--------oum-------omumz------rhom--------fum--------brms--------Rmesh---
      0      0.000  2.32E-02  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  6.085E+02  0.000E+00  3.80450E-04  2.565E+00
     25      0.351  1.01E-02  1.618E-01  4.915E-01  7.722E-01  4.298E-01  3.405E-02  0.000E+00  6.085E+02  1.502E-02  6.00780E-05  6.116E+00
     50      0.589  9.23E-03  1.403E-01  5.364E-01  1.188E+00  5.462E-01  5.561E-02  0.000E+00  6.086E+02 -4.435E-02  3.38660E-05  6.672E+00
     75      0.809  8.26E-03  2.154E-01  6.154E-01  1.543E+00  6.259E-01  7.347E-02  0.000E+00  6.086E+02 -1.014E-01  2.31977E-05  7.471E+00
    100      1.006  7.89E-03  2.236E-01  6.915E-01  1.768E+00  6.662E-01  8.201E-02  0.000E+00  6.086E+02 -1.073E-01  1.78978E-05  7.823E+00
    125      1.207  8.20E-03  1.891E-01  6.012E-01  2.117E+00  7.292E-01  9.733E-02  0.000E+00  6.086E+02 -7.763E-02  1.44390E-05  7.527E+00
    150      1.416  8.38E-03  1.752E-01  5.365E-01  2.552E+00  7.750E-01  1.066E-01  0.000E+00  6.086E+02 -4.382E-02  1.19899E-05  7.360E+00
    175      1.623  8.19E-03  1.671E-01  5.481E-01  2.730E+00  7.995E-01  1.083E-01  0.000E+00  6.086E+02 -3.510E-02  1.02524E-05  7.530E+00
    200      1.827  8.00E-03  1.712E-01  5.380E-01  3.017E+00  8.415E-01  1.140E-01  0.000E+00  6.086E+02 -3.513E-02  8.97085E-06  7.714E+00
    225      2.023  7.79E-03  1.762E-01  5.294E-01  3.227E+00  8.766E-01  1.186E-01  0.000E+00  6.085E+02 -2.966E-02  8.01236E-06  7.919E+00
    250      2.217  7.73E-03  1.747E-01  5.037E-01  3.329E+00  8.889E-01  1.163E-01  0.000E+00  6.085E+02 -1.629E-02  7.25702E-06  7.981E+00
    275      2.410  7.71E-03  1.737E-01  5.504E-01  3.167E+00  8.920E-01  1.106E-01  0.000E+00  6.084E+02 -1.129E-03  6.62710E-06  8.006E+00
    300      2.602  7.61E-03  1.763E-01  6.436E-01  3.440E+00  9.060E-01  1.082E-01  0.000E+00  6.084E+02  9.514E-03  6.10711E-06  8.111E+00
    325      2.791  7.53E-03  1.835E-01  6.226E-01  3.453E+00  9.400E-01  1.121E-01  0.000E+00  6.084E+02  1.491E-02  5.66836E-06  8.200E+00
    350      2.976  7.39E-03  1.834E-01  5.773E-01  3.349E+00  9.376E-01  1.006E-01  0.000E+00  6.084E+02  1.966E-02  5.29790E-06  8.359E+00
    375      3.162  7.38E-03  1.899E-01  5.585E-01  3.709E+00  9.704E-01  1.004E-01  0.000E+00  6.084E+02  2.421E-02  4.97884E-06  8.371E+00
    400      3.345  7.34E-03  1.955E-01  6.355E-01  3.667E+00  1.002E+00  9.866E-02  0.000E+00  6.084E+02  2.958E-02  4.70564E-06  8.417E+00
    425      3.527  7.20E-03  2.039E-01  7.626E-01  3.882E+00  1.040E+00  9.892E-02  0.000E+00  6.084E+02  3.742E-02  4.46659E-06  8.572E+00
    450      3.704  7.01E-03  2.086E-01  7.447E-01  3.917E+00  1.066E+00  9.211E-02  0.000E+00  6.084E+02  4.439E-02  4.25591E-06  8.817E+00
    475      3.877  6.90E-03  2.159E-01  8.167E-01  4.124E+00  1.105E+00  9.168E-02  0.000E+00  6.084E+02  4.596E-02  4.06899E-06  8.951E+00
    500      4.050  6.91E-03  2.163E-01  8.372E-01  4.399E+00  1.113E+00  7.994E-02  0.000E+00  6.084E+02  4.140E-02  3.90117E-06  8.937E+00
    525      4.224  6.93E-03  2.200E-01  7.322E-01  4.565E+00  1.141E+00  7.933E-02  0.000E+00  6.084E+02  3.444E-02  3.74832E-06  8.918E+00
    550      4.393  6.66E-03  2.213E-01  6.423E-01  4.628E+00  1.148E+00  7.179E-02  0.000E+00  6.084E+02  3.001E-02  3.61239E-06  9.279E+00
    575      4.560  6.62E-03  2.260E-01  6.812E-01  4.677E+00  1.164E+00  6.991E-02  0.000E+00  6.084E+02  2.991E-02  3.48957E-06  9.328E+00
    600      4.725  6.60E-03  2.302E-01  7.544E-01  4.713E+00  1.179E+00  6.972E-02  0.000E+00  6.084E+02  3.086E-02  3.37593E-06  9.363E+00
    625      4.889  6.43E-03  2.342E-01  7.723E-01  4.820E+00  1.196E+00  7.000E-02  0.000E+00  6.085E+02  2.946E-02  3.27047E-06  9.617E+00
    650      5.050  6.35E-03  2.377E-01  9.394E-01  5.045E+00  1.214E+00  6.777E-02  0.000E+00  6.085E+02  2.714E-02  3.17267E-06  9.736E+00
    675      5.209  6.35E-03  2.439E-01  9.952E-01  5.278E+00  1.239E+00  7.164E-02  0.000E+00  6.085E+02  2.640E-02  3.08355E-06  9.732E+00
    700      5.369  6.38E-03  2.494E-01  9.151E-01  5.686E+00  1.261E+00  7.910E-02  0.000E+00  6.085E+02  2.364E-02  3.00273E-06  9.695E+00
    725      5.523  6.05E-03  2.543E-01  8.186E-01  5.810E+00  1.277E+00  8.220E-02  0.000E+00  6.085E+02  1.636E-02  2.93205E-06  1.022E+01
    750      5.674  6.14E-03  2.590E-01  8.787E-01  5.874E+00  1.286E+00  7.881E-02  0.000E+00  6.084E+02  8.626E-03  2.86593E-06  1.006E+01
    775      5.824  5.84E-03  2.629E-01  1.162E+00  6.088E+00  1.307E+00  8.291E-02  0.000E+00  6.084E+02  2.682E-03  2.80423E-06  1.060E+01
