#---it-------t---------dt-------urms-------umax-------epsK-------orms--------oum-------omumz------rhom--------fum--------brms---------TT2m--------Rmesh---
      0      0.000  1.78E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  3.579E+01  0.000E+00  1.42332E-03  2.30582E+01  1.354E+00
    100      0.174  1.77E-03  2.089E-02  8.462E-02  4.636E-03  1.043E-01  1.877E-03  0.000E+00  3.579E+01  2.869E-03  1.41115E-05  1.99382E+01  1.364E+00
    200      0.353  1.81E-03  3.103E-02  9.817E-02  7.415E-03  1.446E-01  3.613E-03  0.000E+00  3.579E+01  7.958E-03  5.82284E-06  1.75821E+01  1.320E+00
    300      0.536  1.85E-03  3.746E-02  1.191E-01  1.044E-02  1.730E-01  5.189E-03  0.000E+00  3.579E+01  1.090E-02  3.45597E-06  1.57054E+01  1.286E+00
    400      0.722  1.87E-03  4.130E-02  1.391E-01  1.208E-02  1.911E-01  6.351E-03  0.000E+00  3.579E+01  1.286E-02  2.38215E-06  1.41972E+01  1.264E+00
    500      0.911  1.90E-03  4.362E-02  1.305E-01  1.362E-02  2.020E-01  7.150E-03  0.000E+00  3.579E+01  1.391E-02  1.78391E-06  1.29761E+01  1.239E+00
    600      1.102  1.92E-03  4.578E-02  1.403E-01  1.536E-02  2.168E-01  8.181E-03  0.000E+00  3.579E+01  1.403E-02  1.40653E-06  1.19759E+01  1.217E+00
    700      1.295  1.95E-03  4.741E-02  1.426E-01  1.713E-02  2.317E-01  9.136E-03  0.000E+00  3.579E+01  1.328E-02  1.14981E-06  1.11552E+01  1.196E+00
    800      1.491  1.97E-03  4.846E-02  1.493E-01  1.801E-02  2.406E-01  9.699E-03  0.000E+00  3.579E+01  1.191E-02  9.65162E-07  1.04797E+01  1.177E+00
    900      1.689  1.99E-03  4.895E-02  1.359E-01  1.892E-02  2.471E-01  9.989E-03  0.000E+00  3.579E+01  1.009E-02  8.26837E-07  9.92460E+00  1.159E+00
   1000      1.890  2.01E-03  5.010E-02  1.501E-01  2.003E-02  2.550E-01  1.044E-02  0.000E+00  3.579E+01  8.049E-03  7.19848E-07  9.46994E+00  1.142E+00
   1100      2.092  2.03E-03  5.096E-02  1.527E-01  2.078E-02  2.605E-01  1.067E-02  0.000E+00  3.579E+01  6.000E-03  6.34982E-07  9.09944E+00  1.125E+00
   1200      2.296  2.04E-03  5.209E-02  1.593E-01  2.164E-02  2.669E-01  1.088E-02  0.000E+00  3.579E+01  4.155E-03  5.66360E-07  8.79999E+00  1.116E+00
   1300      2.501  2.06E-03  5.283E-02  1.697E-01  2.268E-02  2.718E-01  1.085E-02  0.000E+00  3.579E+01  2.522E-03  5.09949E-07  8.55984E+00  1.100E+00
   1400      2.708  2.08E-03  5.417E-02  1.698E-01  2.362E-02  2.778E-01  1.105E-02  0.000E+00  3.579E+01  1.054E-03  4.62670E-07  8.36788E+00  1.089E+00
   1500      2.917  2.10E-03  5.532E-02  1.780E-01  2.480E-02  2.830E-01  1.116E-02  0.000E+00  3.579E+01 -3.335E-04  4.22574E-07  8.21541E+00  1.074E+00
   1600      3.127  2.10E-03  5.678E-02  1.753E-01  2.563E-02  2.890E-01  1.132E-02  0.000E+00  3.579E+01 -1.771E-03  3.88246E-07  8.09455E+00  1.069E+00
   1700      3.338  2.12E-03  5.700E-02  1.837E-01  2.497E-02  2.893E-01  1.086E-02  0.000E+00  3.579E+01 -2.812E-03  3.58620E-07  7.99946E+00  1.058E+00
   1800      3.550  2.12E-03  5.846E-02  1.897E-01  2.675E-02  2.951E-01  1.101E-02  0.000E+00  3.579E+01 -3.481E-03  3.32793E-07  7.92586E+00  1.056E+00
   1900      3.763  2.14E-03  5.952E-02  2.166E-01  2.719E-02  2.990E-01  1.089E-02  0.000E+00  3.579E+01 -3.845E-03  3.10152E-07  7.87010E+00  1.045E+00
   2000      3.976  2.13E-03  6.007E-02  2.000E-01  2.664E-02  3.004E-01  1.037E-02  0.000E+00  3.579E+01 -4.104E-03  2.90170E-07  7.82743E+00  1.045E+00
   2100      4.190  2.14E-03  6.099E-02  1.998E-01  2.783E-02  3.041E-01  1.025E-02  0.000E+00  3.579E+01 -4.173E-03  2.72437E-07  7.79432E+00  1.044E+00
   2200      4.404  2.15E-03  6.130E-02  1.844E-01  2.756E-02  3.048E-01  9.847E-03  0.000E+00  3.579E+01 -4.035E-03  2.56584E-07  7.76937E+00  1.035E+00
   2300      4.619  2.15E-03  6.153E-02  1.757E-01  2.790E-02  3.058E-01  9.479E-03  0.000E+00  3.579E+01 -3.758E-03  2.42309E-07  7.75115E+00  1.038E+00
   2400      4.833  2.14E-03  6.260E-02  2.037E-01  2.835E-02  3.111E-01  9.644E-03  0.000E+00  3.579E+01 -3.318E-03  2.29457E-07  7.73749E+00  1.044E+00
   2500      5.047  2.14E-03  6.288E-02  2.253E-01  2.819E-02  3.120E-01  9.426E-03  0.000E+00  3.579E+01 -2.918E-03  2.17807E-07  7.72744E+00  1.039E+00
   2600      5.263  2.17E-03  6.368E-02  1.924E-01  2.907E-02  3.166E-01  9.657E-03  0.000E+00  3.579E+01 -2.474E-03  2.07133E-07  7.71983E+00  1.021E+00
   2700      5.479  2.17E-03  6.368E-02  2.106E-01  2.907E-02  3.163E-01  9.399E-03  0.000E+00  3.579E+01 -2.043E-03  1.97315E-07  7.71289E+00  1.017E+00
   2800      5.697  2.18E-03  6.474E-02  2.054E-01  2.994E-02  3.207E-01  9.713E-03  0.000E+00  3.579E+01 -1.278E-03  1.88262E-07  7.70527E+00  1.015E+00
   2900      5.915  2.18E-03  6.548E-02  2.067E-01  3.058E-02  3.238E-01  9.786E-03  0.000E+00  3.579E+01  2.731E-04  1.79926E-07  7.69923E+00  1.014E+00
   3000      6.133  2.18E-03  6.576E-02  2.065E-01  2.994E-02  3.244E-01  9.534E-03  0.000E+00  3.579E+01  2.617E-03  1.72277E-07  7.69941E+00  1.014E+00
   3100      6.350  2.18E-03  6.587E-02  2.274E-01  3.027E-02  3.247E-01  9.459E-03  0.000E+00  3.579E+01  4.976E-03  1.65284E-07  7.70659E+00  1.012E+00
   3200      6.568  2.17E-03  6.631E-02  2.231E-01  3.092E-02  3.274E-01  9.571E-03  0.000E+00  3.579E+01  6.639E-03  1.58848E-07  7.71744E+00  1.020E+00
   3300      6.784  2.16E-03  6.632E-02  2.083E-01  3.049E-02  3.267E-01  9.276E-03  0.000E+00  3.579E+01  7.217E-03  1.52917E-07  7.72808E+00  1.023E+00
   3400      7.001  2.17E-03  6.622E-02  2.115E-01  3.071E-02  3.259E-01  9.183E-03  0.000E+00  3.579E+01  6.392E-03  1.47362E-07  7.73477E+00  1.022E+00
   3500      7.218  2.17E-03  6.589E-02  1.979E-01  3.058E-02  3.230E-01  9.084E-03  0.000E+00  3.579E+01  4.509E-03  1.42111E-07  7.73560E+00  1.020E+00
   3600      7.435  2.16E-03  6.589E-02  1.935E-01  3.082E-02  3.242E-01  9.154E-03  0.000E+00  3.579E+01  2.184E-03  1.37214E-07  7.73125E+00  1.025E+00
   3700      7.651  2.16E-03  6.651E-02  2.087E-01  3.238E-02  3.297E-01  9.643E-03  0.000E+00  3.579E+01 -4.604E-06  1.32654E-07  7.72371E+00  1.026E+00
   3800      7.867  2.17E-03  6.628E-02  2.107E-01  3.181E-02  3.285E-01  9.506E-03  0.000E+00  3.579E+01 -1.887E-03  1.28316E-07  7.71595E+00  1.023E+00
