#---it-------t---------dt-------urms-------umax-------rhom--------brms---------TT2m--------Rmesh---
      0      0.000  2.08E-03  0.000E+00  0.000E+00  3.579E+01  2.74216E-03  2.37174E+01  3.749E+00
    100      0.205  2.05E-03  6.355E-02  1.832E-01  3.579E+01  1.75273E-03  2.38731E+01  3.809E+00
    200      0.408  2.02E-03  9.108E-02  2.684E-01  3.579E+01  1.23756E-03  2.40014E+01  3.851E+00
    300      0.609  2.01E-03  1.101E-01  3.129E-01  3.579E+01  9.46422E-04  2.41180E+01  3.870E+00
    400      0.810  2.00E-03  1.230E-01  3.642E-01  3.579E+01  7.66470E-04  2.42239E+01  3.893E+00
    500      1.010  1.99E-03  1.306E-01  3.882E-01  3.579E+01  6.48218E-04  2.43189E+01  3.930E+00
    600      1.208  1.98E-03  1.331E-01  4.095E-01  3.579E+01  5.65421E-04  2.43995E+01  3.948E+00
    700      1.404  1.96E-03  1.479E-01  4.272E-01  3.579E+01  5.05044E-04  2.44703E+01  3.988E+00
    800      1.599  1.94E-03  1.560E-01  5.104E-01  3.579E+01  4.60227E-04  2.45400E+01  4.024E+00
    900      1.793  1.93E-03  1.590E-01  5.349E-01  3.579E+01  4.25626E-04  2.46017E+01  4.036E+00
   1000      1.987  1.95E-03  1.611E-01  5.580E-01  3.579E+01  3.97786E-04  2.46593E+01  4.013E+00
   1100      2.181  1.93E-03  1.637E-01  5.223E-01  3.579E+01  3.75156E-04  2.47167E+01  4.040E+00
   1200      2.374  1.93E-03  1.670E-01  5.440E-01  3.579E+01  3.56230E-04  2.47694E+01  4.056E+00
   1300      2.564  1.89E-03  1.699E-01  5.577E-01  3.579E+01  3.40327E-04  2.48143E+01  4.134E+00
   1400      2.754  1.89E-03  1.756E-01  5.899E-01  3.579E+01  3.26815E-04  2.48395E+01  4.129E+00
   1500      2.943  1.88E-03  1.783E-01  6.611E-01  3.579E+01  3.15289E-04  2.48651E+01  4.165E+00
   1600      3.132  1.89E-03  1.809E-01  6.965E-01  3.579E+01  3.05192E-04  2.48858E+01  4.130E+00
   1700      3.319  1.84E-03  1.823E-01  6.244E-01  3.579E+01  2.96225E-04  2.48929E+01  4.252E+00
   1800      3.502  1.84E-03  1.874E-01  6.187E-01  3.579E+01  2.88426E-04  2.49131E+01  4.241E+00
   1900      3.686  1.85E-03  1.930E-01  7.012E-01  3.579E+01  2.81604E-04  2.49381E+01  4.220E+00
   2000      3.870  1.82E-03  1.928E-01  6.604E-01  3.579E+01  2.75760E-04  2.49258E+01  4.296E+00
   2100      4.053  1.87E-03  1.934E-01  7.263E-01  3.579E+01  2.70237E-04  2.48939E+01  4.178E+00
   2200      4.236  1.80E-03  1.956E-01  7.571E-01  3.579E+01  2.65137E-04  2.48820E+01  4.339E+00
   2300      4.417  1.82E-03  1.946E-01  6.641E-01  3.580E+01  2.60221E-04  2.48941E+01  4.300E+00
   2400      4.598  1.80E-03  1.970E-01  7.091E-01  3.580E+01  2.55454E-04  2.49195E+01  4.359E+00
   2500      4.777  1.83E-03  1.950E-01  6.135E-01  3.580E+01  2.50958E-04  2.49528E+01  4.274E+00
   2600      4.959  1.83E-03  2.015E-01  6.811E-01  3.580E+01  2.46958E-04  2.49823E+01  4.286E+00
   2700      5.140  1.80E-03  2.031E-01  6.753E-01  3.580E+01  2.43649E-04  2.50052E+01  4.336E+00
#---it-------t---------dt-------urms-------umax-------rhom--------brms---------TT2m--------Rmesh---
      0      5.269  1.70E-03  2.011E-01  9.948E-01  3.580E+01  2.41358E-04  2.50306E+01  4.610E+00
    100      5.441  1.75E-03  2.045E-01  8.045E-01  3.580E+01  2.38345E-04  2.50918E+01  4.476E+00
    200      5.618  1.80E-03  2.016E-01  6.417E-01  3.580E+01  2.35460E-04  2.51337E+01  4.348E+00
    300      5.799  1.82E-03  2.009E-01  7.108E-01  3.580E+01  2.32367E-04  2.51351E+01  4.293E+00
    400      5.982  1.83E-03  1.972E-01  6.560E-01  3.580E+01  2.29106E-04  2.51410E+01  4.270E+00
    500      6.166  1.82E-03  2.006E-01  6.822E-01  3.580E+01  2.26109E-04  2.51654E+01  4.295E+00
    600      6.345  1.79E-03  2.041E-01  6.834E-01  3.580E+01  2.23775E-04  2.52132E+01  4.381E+00
    700      6.525  1.85E-03  2.063E-01  6.641E-01  3.580E+01  2.21637E-04  2.52660E+01  4.227E+00
    800      6.705  1.81E-03  2.119E-01  7.175E-01  3.580E+01  2.20078E-04  2.52879E+01  4.322E+00
    900      6.887  1.80E-03  2.130E-01  7.489E-01  3.580E+01  2.18851E-04  2.53250E+01  4.338E+00
   1000      7.068  1.83E-03  2.127E-01  6.362E-01  3.580E+01  2.17894E-04  2.53650E+01  4.268E+00
   1100      7.249  1.78E-03  2.158E-01  7.414E-01  3.580E+01  2.17111E-04  2.53716E+01  4.400E+00
   1200      7.428  1.79E-03  2.108E-01  6.998E-01  3.580E+01  2.16491E-04  2.53822E+01  4.379E+00
   1300      7.605  1.72E-03  2.063E-01  6.873E-01  3.579E+01  2.15596E-04  2.53636E+01  4.553E+00
   1400      7.778  1.73E-03  2.073E-01  6.938E-01  3.579E+01  2.14543E-04  2.53195E+01  4.543E+00
   1500      7.952  1.78E-03  2.095E-01  7.021E-01  3.579E+01  2.13981E-04  2.52766E+01  4.396E+00
   1600      8.131  1.80E-03  2.105E-01  7.497E-01  3.579E+01  2.13611E-04  2.52807E+01  4.360E+00
   1700      8.311  1.77E-03  2.100E-01  9.080E-01  3.579E+01  2.13363E-04  2.53062E+01  4.432E+00
   1800      8.486  1.71E-03  2.131E-01  8.220E-01  3.579E+01  2.13315E-04  2.53252E+01  4.579E+00
   1900      8.653  1.66E-03  2.114E-01  7.317E-01  3.579E+01  2.13328E-04  2.53270E+01  4.719E+00
   2000      8.826  1.77E-03  2.091E-01  7.033E-01  3.579E+01  2.13292E-04  2.53328E+01  4.418E+00
   2100      8.999  1.70E-03  2.096E-01  9.188E-01  3.579E+01  2.13321E-04  2.53355E+01  4.624E+00
#---it-------t---------dt-------urms-------umax-------rhom--------brms---------TT2m--------Rmesh---
      0      9.069  1.74E-03  2.060E-01  7.949E-01  3.579E+01  2.13389E-04  2.53366E+01  4.502E+00
    100      9.240  1.69E-03  2.064E-01  7.230E-01  3.579E+01  2.13336E-04  2.53674E+01  4.652E+00
    200      9.412  1.71E-03  2.076E-01  7.306E-01  3.579E+01  2.13544E-04  2.53938E+01  4.584E+00
    300      9.582  1.69E-03  2.119E-01  7.605E-01  3.579E+01  2.14013E-04  2.53873E+01  4.632E+00
    400      9.753  1.74E-03  2.155E-01  7.329E-01  3.579E+01  2.14917E-04  2.53777E+01  4.516E+00
    500      9.925  1.70E-03  2.133E-01  7.089E-01  3.579E+01  2.15912E-04  2.53668E+01  4.600E+00
    600     10.090  1.65E-03  2.116E-01  8.839E-01  3.579E+01  2.16867E-04  2.53844E+01  4.752E+00
    700     10.261  1.76E-03  2.103E-01  8.118E-01  3.579E+01  2.17857E-04  2.53846E+01  4.447E+00
