#---it-------t---------dt-------urms-------umax-------epsK-------orms--------oum-------omumz------rhom--------brms---------TT2m--------Rmesh---
   3100      6.893  2.36E-03  8.472E-02  2.775E-01  4.096E-02  4.464E-01  2.670E-02  3.598E-06  6.504E+01  1.83802E-06  8.94610E+00  2.646E+00
   3200      7.129  2.35E-03  8.557E-02  2.971E-01  4.177E-02  4.506E-01  2.674E-02  4.445E-06  6.504E+01  1.78088E-06  8.96745E+00  2.656E+00
   3300      7.364  2.35E-03  8.607E-02  2.856E-01  4.192E-02  4.519E-01  2.673E-02  4.445E-06  6.504E+01  1.72831E-06  8.97852E+00  2.664E+00
   3400      7.599  2.35E-03  8.609E-02  2.848E-01  4.208E-02  4.523E-01  2.664E-02  1.569E-06  6.504E+01  1.67962E-06  8.97937E+00  2.663E+00
   3500      7.833  2.34E-03  8.578E-02  3.039E-01  4.213E-02  4.514E-01  2.608E-02  1.569E-06  6.504E+01  1.63393E-06  8.97227E+00  2.673E+00
   3600      8.068  2.35E-03  8.634E-02  2.773E-01  4.293E-02  4.551E-01  2.640E-02  1.496E-06  6.504E+01  1.59121E-06  8.96110E+00  2.660E+00
   3700      8.303  2.35E-03  8.735E-02  2.748E-01  4.467E-02  4.620E-01  2.736E-02  1.496E-06  6.504E+01  1.55136E-06  8.95019E+00  2.664E+00
   3800      8.538  2.35E-03  8.714E-02  2.856E-01  4.443E-02  4.620E-01  2.678E-02  1.720E-06  6.504E+01  1.51402E-06  8.94029E+00  2.666E+00
   3900      8.772  2.35E-03  8.723E-02  2.802E-01  4.490E-02  4.630E-01  2.653E-02  1.720E-06  6.504E+01  1.47889E-06  8.93313E+00  2.656E+00
   4000      9.008  2.36E-03  8.696E-02  2.707E-01  4.456E-02  4.624E-01  2.592E-02  6.155E-06  6.503E+01  1.44517E-06  8.92808E+00  2.644E+00
   4100      9.244  2.37E-03  8.774E-02  2.851E-01  4.582E-02  4.672E-01  2.643E-02  6.155E-06  6.503E+01  1.41357E-06  8.92556E+00  2.638E+00
   4200      9.481  2.36E-03  8.920E-02  3.089E-01  4.750E-02  4.750E-01  2.742E-02  3.172E-05  6.503E+01  1.38416E-06  8.92478E+00  2.648E+00
   4300      9.717  2.34E-03  8.990E-02  3.094E-01  4.812E-02  4.793E-01  2.768E-02  3.172E-05  6.503E+01  1.35687E-06  8.92572E+00  2.673E+00
   4400      9.951  2.36E-03  9.016E-02  3.252E-01  4.846E-02  4.801E-01  2.740E-02  5.236E-05  6.503E+01  1.33115E-06  8.92781E+00  2.642E+00
   4500     10.188  2.36E-03  9.057E-02  2.954E-01  4.895E-02  4.814E-01  2.752E-02  5.236E-05  6.504E+01  1.30652E-06  8.92990E+00  2.646E+00
   4600     10.424  2.37E-03  9.067E-02  3.008E-01  4.891E-02  4.830E-01  2.729E-02  5.175E-05  6.504E+01  1.28311E-06  8.93204E+00  2.640E+00
